frame_time_s,f_hz,A_total_rms,B_residual_rms,thd_n_residual_over_total
1.659999999999999787e+01,9.120000000000000000e+02,4.166769959595205728e+04,1.300648331289693260e+03,3.121478612695117311e-02
1.669999999999999929e+01,9.360000000000000000e+02,4.166660137916012900e+04,1.262455506366782856e+03,3.029897962827872090e-02
1.679999999999999716e+01,9.560000000000000000e+02,4.166490664546071639e+04,1.247316466662546418e+03,2.993685974809302125e-02
1.689999999999999858e+01,9.770000000000000000e+02,4.166302876766335976e+04,1.261621094540095783e+03,3.028155013826789796e-02
1.700000000000000000e+01,1.001000000000000000e+03,4.166218748373551352e+04,1.293864964864517333e+03,3.105609769937377543e-02
1.709999999999999787e+01,1.023000000000000000e+03,4.166253977167252742e+04,1.312858264420201749e+03,3.151171943945791504e-02
1.719999999999999929e+01,1.047000000000000000e+03,4.166347849059812143e+04,1.306586874193287258e+03,3.136048456655232686e-02
1.729999999999999716e+01,1.071000000000000000e+03,4.166474193481486873e+04,1.293487429509366848e+03,3.104513239354867241e-02
1.739999999999999858e+01,1.096000000000000000e+03,4.166671982237420889e+04,1.296142414847453210e+03,3.110737827150603443e-02
1.750000000000000000e+01,1.125000000000000000e+03,4.166929559529644030e+04,1.315461108772070475e+03,3.156907478226143871e-02
1.759999999999999787e+01,1.149000000000000000e+03,4.167116653425302502e+04,1.333750261443810359e+03,3.200654966900168957e-02
1.769999999999999929e+01,1.177000000000000000e+03,4.167142327934073546e+04,1.333143766966246631e+03,3.199179826495567730e-02
1.779999999999999716e+01,1.205000000000000000e+03,4.167036206042140111e+04,1.310966903113927629e+03,3.146041546778607922e-02
1.789999999999999858e+01,1.231000000000000000e+03,4.166876001215032011e+04,1.274685560084773897e+03,3.059091654546678210e-02
1.800000000000000000e+01,1.257000000000000000e+03,4.166775651511016622e+04,1.244941978327943161e+03,2.987782598461916767e-02
1.809999999999999787e+01,1.290000000000000000e+03,4.166826783812062786e+04,1.245520721098637296e+03,2.989134863818745935e-02
1.819999999999999929e+01,1.318000000000000000e+03,4.166973007138577668e+04,1.275558996462511232e+03,3.061116532978037930e-02
1.829999999999999716e+01,1.352000000000000000e+03,4.167004984166932263e+04,1.303962050566710332e+03,3.129254837758247559e-02
1.839999999999999858e+01,1.382000000000000000e+03,4.166815124047813151e+04,1.314228873353767995e+03,3.154036918434414971e-02
1.850000000000000000e+01,1.415000000000000000e+03,4.166578786698547628e+04,1.312066649862206987e+03,3.149026376390311882e-02
1.859999999999999787e+01,1.447000000000000000e+03,4.166591739210041851e+04,1.318923862006218087e+03,3.165474192238180301e-02
1.869999999999999929e+01,1.481000000000000000e+03,4.166890804986686999e+04,1.352425178515009975e+03,3.245645834770875121e-02
1.879999999999999716e+01,1.514000000000000000e+03,4.167196820890725212e+04,1.399389681817660630e+03,3.358107960733530684e-02
1.889999999999999858e+01,1.551000000000000000e+03,4.167261619929302833e+04,1.426819640711079046e+03,3.423878246298548561e-02
1.900000000000000000e+01,1.586000000000000000e+03,4.167130577738148713e+04,1.423214159920534485e+03,3.415333725138587628e-02
1.909999999999999787e+01,1.623000000000000000e+03,4.166991639528048108e+04,1.400951392626631332e+03,3.362021126553790124e-02
